Code,Description
H11219,"Conjunctival adhesions and strands (localized), unspecified eye"
H11221,"Conjunctival granuloma, right eye"
H11222,"Conjunctival granuloma, left eye"
H11223,"Conjunctival granuloma, bilateral"
H11229,"Conjunctival granuloma, unspecified"
H11231,"Symblepharon, right eye"
H11232,"Symblepharon, left eye"
H11233,"Symblepharon, bilateral"
H11239,"Symblepharon, unspecified eye"
H11241,"Scarring of conjunctiva, right eye"
H11242,"Scarring of conjunctiva, left eye"
H11243,"Scarring of conjunctiva, bilateral"
H11249,"Scarring of conjunctiva, unspecified eye"
H1130,"Conjunctival hemorrhage, unspecified eye"
H1131,"Conjunctival hemorrhage, right eye"
H1132,"Conjunctival hemorrhage, left eye"
H1133,"Conjunctival hemorrhage, bilateral"
H11411,"Vascular abnormalities of conjunctiva, right eye"
H11412,"Vascular abnormalities of conjunctiva, left eye"
H11413,"Vascular abnormalities of conjunctiva, bilateral"
H11419,"Vascular abnormalities of conjunctiva, unspecified eye"
H11421,"Conjunctival edema, right eye"
H11422,"Conjunctival edema, left eye"
H11423,"Conjunctival edema, bilateral"
H11429,"Conjunctival edema, unspecified eye"
H11431,"Conjunctival hyperemia, right eye"
H11432,"Conjunctival hyperemia, left eye"
H11433,"Conjunctival hyperemia, bilateral"
H11439,"Conjunctival hyperemia, unspecified eye"
H11441,"Conjunctival cysts, right eye"
H11442,"Conjunctival cysts, left eye"
H11443,"Conjunctival cysts, bilateral"
H11449,"Conjunctival cysts, unspecified eye"
H11811,"Pseudopterygium of conjunctiva, right eye"
H11812,"Pseudopterygium of conjunctiva, left eye"
H11813,"Pseudopterygium of conjunctiva, bilateral"
H11819,"Pseudopterygium of conjunctiva, unspecified eye"
H11821,"Conjunctivochalasis, right eye"
H11822,"Conjunctivochalasis, left eye"
H11823,"Conjunctivochalasis, bilateral"
H11829,"Conjunctivochalasis, unspecified eye"
H1189,Other specified disorders of conjunctiva
H119,Unspecified disorder of conjunctiva
H15001,"Unspecified scleritis, right eye"
H15002,"Unspecified scleritis, left eye"
H15003,"Unspecified scleritis, bilateral"
H15009,"Unspecified scleritis, unspecified eye"
H15011,"Anterior scleritis, right eye"
H15012,"Anterior scleritis, left eye"
H15013,"Anterior scleritis, bilateral"
H15019,"Anterior scleritis, unspecified eye"
H15021,"Brawny scleritis, right eye"
H15022,"Brawny scleritis, left eye"
H15023,"Brawny scleritis, bilateral"
H15029,"Brawny scleritis, unspecified eye"
H15031,"Posterior scleritis, right eye"
H15032,"Posterior scleritis, left eye"
H15033,"Posterior scleritis, bilateral"
H15039,"Posterior scleritis, unspecified eye"
H15041,"Scleritis with corneal involvement, right eye"
H15042,"Scleritis with corneal involvement, left eye"
H15043,"Scleritis with corneal involvement, bilateral"
H15049,"Scleritis with corneal involvement, unspecified eye"
H15051,"Scleromalacia perforans, right eye"
H15052,"Scleromalacia perforans, left eye"
H15053,"Scleromalacia perforans, bilateral"
H15059,"Scleromalacia perforans, unspecified eye"
H15091,"Other scleritis, right eye"
H15092,"Other scleritis, left eye"
H15093,"Other scleritis, bilateral"
H15099,"Other scleritis, unspecified eye"
H15101,"Unspecified episcleritis, right eye"
H15102,"Unspecified episcleritis, left eye"
H15103,"Unspecified episcleritis, bilateral"
H15109,"Unspecified episcleritis, unspecified eye"
H15111,"Episcleritis periodica fugax, right eye"
H15112,"Episcleritis periodica fugax, left eye"
H15113,"Episcleritis periodica fugax, bilateral"
H15119,"Episcleritis periodica fugax, unspecified eye"
H15121,"Nodular episcleritis, right eye"
H15122,"Nodular episcleritis, left eye"
H15123,"Nodular episcleritis, bilateral"
H15129,"Nodular episcleritis, unspecified eye"
H15811,"Equatorial staphyloma, right eye"
H15812,"Equatorial staphyloma, left eye"
H15813,"Equatorial staphyloma, bilateral"
H15819,"Equatorial staphyloma, unspecified eye"
H15821,"Localized anterior staphyloma, right eye"
H15822,"Localized anterior staphyloma, left eye"
H15823,"Localized anterior staphyloma, bilateral"
H15829,"Localized anterior staphyloma, unspecified eye"
H15831,"Staphyloma posticum, right eye"
H15832,"Staphyloma posticum, left eye"
H15833,"Staphyloma posticum, bilateral"
H15839,"Staphyloma posticum, unspecified eye"
H15841,"Scleral ectasia, right eye"
H15842,"Scleral ectasia, left eye"
H15843,"Scleral ectasia, bilateral"
H15849,"Scleral ectasia, unspecified eye"
H15851,"Ring staphyloma, right eye"
H15852,"Ring staphyloma, left eye"
H15853,"Ring staphyloma, bilateral"
H15859,"Ring staphyloma, unspecified eye"
H1589,Other disorders of sclera
H159,Unspecified disorder of sclera
H16001,"Unspecified corneal ulcer, right eye"
H16002,"Unspecified corneal ulcer, left eye"
H16003,"Unspecified corneal ulcer, bilateral"
H16009,"Unspecified corneal ulcer, unspecified eye"
H16011,"Central corneal ulcer, right eye"
H16012,"Central corneal ulcer, left eye"
H16013,"Central corneal ulcer, bilateral"
H16019,"Central corneal ulcer, unspecified eye"
H16021,"Ring corneal ulcer, right eye"
H16022,"Ring corneal ulcer, left eye"
H16023,"Ring corneal ulcer, bilateral"
H16029,"Ring corneal ulcer, unspecified eye"
H16031,"Corneal ulcer with hypopyon, right eye"
H16032,"Corneal ulcer with hypopyon, left eye"
H16033,"Corneal ulcer with hypopyon, bilateral"
H16039,"Corneal ulcer with hypopyon, unspecified eye"
H16041,"Marginal corneal ulcer, right eye"
H16042,"Marginal corneal ulcer, left eye"
H16043,"Marginal corneal ulcer, bilateral"
H16049,"Marginal corneal ulcer, unspecified eye"
H16051,"Mooren's corneal ulcer, right eye"
H16052,"Mooren's corneal ulcer, left eye"
H16053,"Mooren's corneal ulcer, bilateral"
H16059,"Mooren's corneal ulcer, unspecified eye"
H16061,"Mycotic corneal ulcer, right eye"
H16062,"Mycotic corneal ulcer, left eye"
H16063,"Mycotic corneal ulcer, bilateral"
H16069,"Mycotic corneal ulcer, unspecified eye"
H16071,"Perforated corneal ulcer, right eye"
H16072,"Perforated corneal ulcer, left eye"
H16073,"Perforated corneal ulcer, bilateral"
H16079,"Perforated corneal ulcer, unspecified eye"
H16101,"Unspecified superficial keratitis, right eye"
H16102,"Unspecified superficial keratitis, left eye"
H16103,"Unspecified superficial keratitis, bilateral"
H16109,"Unspecified superficial keratitis, unspecified eye"
H16111,"Macular keratitis, right eye"
H16112,"Macular keratitis, left eye"
H16113,"Macular keratitis, bilateral"
H16119,"Macular keratitis, unspecified eye"
H16121,"Filamentary keratitis, right eye"
H16122,"Filamentary keratitis, left eye"
H16123,"Filamentary keratitis, bilateral"
H16129,"Filamentary keratitis, unspecified eye"
H16131,"Photokeratitis, right eye"
H16132,"Photokeratitis, left eye"
H16133,"Photokeratitis, bilateral"
H16139,"Photokeratitis, unspecified eye"
H16141,"Punctate keratitis, right eye"
H16142,"Punctate keratitis, left eye"
H16143,"Punctate keratitis, bilateral"
H16149,"Punctate keratitis, unspecified eye"
H16201,"Unspecified keratoconjunctivitis, right eye"
H16202,"Unspecified keratoconjunctivitis, left eye"
H16203,"Unspecified keratoconjunctivitis, bilateral"
H16209,"Unspecified keratoconjunctivitis, unspecified eye"
H16211,"Exposure keratoconjunctivitis, right eye"
H16212,"Exposure keratoconjunctivitis, left eye"
H16213,"Exposure keratoconjunctivitis, bilateral"
H16219,"Exposure keratoconjunctivitis, unspecified eye"
H16221,"Keratoconjunctivitis sicca, not specified as Sjogren's, right eye"
H16222,"Keratoconjunctivitis sicca, not specified as Sjogren's, left eye"
H16223,"Keratoconjunctivitis sicca, not specified as Sjogren's, bilateral"
H16229,"Keratoconjunctivitis sicca, not specified as Sjogren's, unspecified eye"
H16231,"Neurotrophic keratoconjunctivitis, right eye"
H16232,"Neurotrophic keratoconjunctivitis, left eye"
H16233,"Neurotrophic keratoconjunctivitis, bilateral"
H16239,"Neurotrophic keratoconjunctivitis, unspecified eye"
H16241,"Ophthalmia nodosa, right eye"
H16242,"Ophthalmia nodosa, left eye"
H16243,"Ophthalmia nodosa, bilateral"
H16249,"Ophthalmia nodosa, unspecified eye"
H16251,"Phlyctenular keratoconjunctivitis, right eye"
H16252,"Phlyctenular keratoconjunctivitis, left eye"
H16253,"Phlyctenular keratoconjunctivitis, bilateral"
H16259,"Phlyctenular keratoconjunctivitis, unspecified eye"
H16261,"Vernal keratoconjunctivitis, with limbar and corneal involvement, right eye"
H16262,"Vernal keratoconjunctivitis, with limbar and corneal involvement, left eye"
H16263,"Vernal keratoconjunctivitis, with limbar and corneal involvement, bilateral"
H16269,"Vernal keratoconjunctivitis, with limbar and corneal involvement, unspecified eye"
H16291,"Other keratoconjunctivitis, right eye"
H16292,"Other keratoconjunctivitis, left eye"
H16293,"Other keratoconjunctivitis, bilateral"
H16299,"Other keratoconjunctivitis, unspecified eye"
H16301,"Unspecified interstitial keratitis, right eye"
H16302,"Unspecified interstitial keratitis, left eye"
H16303,"Unspecified interstitial keratitis, bilateral"
H16309,"Unspecified interstitial keratitis, unspecified eye"
H16311,"Corneal abscess, right eye"
H16312,"Corneal abscess, left eye"
H16313,"Corneal abscess, bilateral"
H16319,"Corneal abscess, unspecified eye"
H16321,"Diffuse interstitial keratitis, right eye"
H16322,"Diffuse interstitial keratitis, left eye"
H16323,"Diffuse interstitial keratitis, bilateral"
H16329,"Diffuse interstitial keratitis, unspecified eye"
H16331,"Sclerosing keratitis, right eye"
H16332,"Sclerosing keratitis, left eye"
H16333,"Sclerosing keratitis, bilateral"
H16339,"Sclerosing keratitis, unspecified eye"
H16391,"Other interstitial and deep keratitis, right eye"
H16392,"Other interstitial and deep keratitis, left eye"
H16393,"Other interstitial and deep keratitis, bilateral"
H16399,"Other interstitial and deep keratitis, unspecified eye"
H16401,"Unspecified corneal neovascularization, right eye"
H16402,"Unspecified corneal neovascularization, left eye"
H16403,"Unspecified corneal neovascularization, bilateral"
H16409,"Unspecified corneal neovascularization, unspecified eye"
H16411,"Ghost vessels (corneal), right eye"
H16412,"Ghost vessels (corneal), left eye"
H16413,"Ghost vessels (corneal), bilateral"
H16419,"Ghost vessels (corneal), unspecified eye"
H16421,"Pannus (corneal), right eye"
H16422,"Pannus (corneal), left eye"
H16423,"Pannus (corneal), bilateral"
H16429,"Pannus (corneal), unspecified eye"
H16431,"Localized vascularization of cornea, right eye"
H16432,"Localized vascularization of cornea, left eye"
H16433,"Localized vascularization of cornea, bilateral"
H16439,"Localized vascularization of cornea, unspecified eye"
H16441,"Deep vascularization of cornea, right eye"
H16442,"Deep vascularization of cornea, left eye"
H16443,"Deep vascularization of cornea, bilateral"
H16449,"Deep vascularization of cornea, unspecified eye"
H168,Other keratitis
H169,Unspecified keratitis
H1700,"Adherent leukoma, unspecified eye"
H1701,"Adherent leukoma, right eye"
H1702,"Adherent leukoma, left eye"
H1703,"Adherent leukoma, bilateral"
H1710,"Central corneal opacity, unspecified eye"
H1711,"Central corneal opacity, right eye"
H1712,"Central corneal opacity, left eye"
H1713,"Central corneal opacity, bilateral"
H17811,"Minor opacity of cornea, right eye"
H17812,"Minor opacity of cornea, left eye"
H17813,"Minor opacity of cornea, bilateral"
H17819,"Minor opacity of cornea, unspecified eye"
H17821,"Peripheral opacity of cornea, right eye"
H17822,"Peripheral opacity of cornea, left eye"
H17823,"Peripheral opacity of cornea, bilateral"
H17829,"Peripheral opacity of cornea, unspecified eye"
H1789,Other corneal scars and opacities
H179,Unspecified corneal scar and opacity
H18001,"Unspecified corneal deposit, right eye"
H18002,"Unspecified corneal deposit, left eye"
H18003,"Unspecified corneal deposit, bilateral"
H18009,"Unspecified corneal deposit, unspecified eye"
H18011,"Anterior corneal pigmentations, right eye"
H18012,"Anterior corneal pigmentations, left eye"
H18013,"Anterior corneal pigmentations, bilateral"
H18019,"Anterior corneal pigmentations, unspecified eye"
H18021,"Argentous corneal deposits, right eye"
H18022,"Argentous corneal deposits, left eye"
H18023,"Argentous corneal deposits, bilateral"
H18029,"Argentous corneal deposits, unspecified eye"
H18031,"Corneal deposits in metabolic disorders, right eye"
H18032,"Corneal deposits in metabolic disorders, left eye"
H18033,"Corneal deposits in metabolic disorders, bilateral"
H18039,"Corneal deposits in metabolic disorders, unspecified eye"
H18041,"Kayser-Fleischer ring, right eye"
H18042,"Kayser-Fleischer ring, left eye"
H18043,"Kayser-Fleischer ring, bilateral"
H18049,"Kayser-Fleischer ring, unspecified eye"
H18051,"Posterior corneal pigmentations, right eye"
H18052,"Posterior corneal pigmentations, left eye"
H18053,"Posterior corneal pigmentations, bilateral"
H18059,"Posterior corneal pigmentations, unspecified eye"
H18061,"Stromal corneal pigmentations, right eye"
H18062,"Stromal corneal pigmentations, left eye"
H18063,"Stromal corneal pigmentations, bilateral"
H18069,"Stromal corneal pigmentations, unspecified eye"
H1810,"Bullous keratopathy, unspecified eye"
H1811,"Bullous keratopathy, right eye"
H1812,"Bullous keratopathy, left eye"
H1813,"Bullous keratopathy, bilateral"
H1820,Unspecified corneal edema
H18211,"Corneal edema secondary to contact lens, right eye"
H18212,"Corneal edema secondary to contact lens, left eye"
H18213,"Corneal edema secondary to contact lens, bilateral"
H18219,"Corneal edema secondary to contact lens, unspecified eye"
H18221,"Idiopathic corneal edema, right eye"
H18222,"Idiopathic corneal edema, left eye"
H18223,"Idiopathic corneal edema, bilateral"
H18229,"Idiopathic corneal edema, unspecified eye"
H18231,"Secondary corneal edema, right eye"
H18232,"Secondary corneal edema, left eye"
H18233,"Secondary corneal edema, bilateral"
H18239,"Secondary corneal edema, unspecified eye"
H1830,Unspecified corneal membrane change
H18311,"Folds and rupture in Bowman's membrane, right eye"
H18312,"Folds and rupture in Bowman's membrane, left eye"
H18313,"Folds and rupture in Bowman's membrane, bilateral"
H18319,"Folds and rupture in Bowman's membrane, unspecified eye"
H18321,"Folds in Descemet's membrane, right eye"
H18322,"Folds in Descemet's membrane, left eye"
